team,player,bat_or_bowl,bb_bf,runs,wkts,wicketball_prob,runs_per_ball,opposition,ground,start_date,overs,mdns,econ,inns,4s,6s,sr,not_out,mins
Bangladesh,Mahedi Hasan (Bangladesh),bat,38,17,,0.026315789,0.4473,Netherlands,Eden Gardens,28-Oct-23,,,,2,1,0,44.73,0,51
New Zealand,GD Phillips (New Zealand),bat,11,16,,0,1.4545,Bangladesh,Chennai,13-Oct-23,,,,2,1,1,145.45,1,22
England,DJ Willey (England),bat,17,16,,0,0.9411,India,Lucknow,29-Oct-23,,,,2,0,2,94.11,1,29
Pakistan,Haris Rauf (Pakistan),bat,14,16,,0.071428571,1.1428,Netherlands,Hyderabad,6-Oct-23,,,,1,2,1,114.28,0,10
Netherlands,MP O'Dowd (Netherlands),bat,31,16,,0.032258065,0.5161,New Zealand,Hyderabad,9-Oct-23,,,,2,2,0,51.61,0,40
Afghanistan,Rahmat Shah (Afghanistan),bat,22,16,,0.045454545,0.7272,India,Delhi,11-Oct-23,,,,1,3,0,72.72,0,37
Afghanistan,Rashid Khan (Afghanistan),bat,12,16,,0.083333333,1.3333,India,Delhi,11-Oct-23,,,,1,1,1,133.33,0,18
Bangladesh,Tanzid Hasan (Bangladesh),bat,17,16,,0.058823529,0.9411,New Zealand,Chennai,13-Oct-23,,,,1,4,0,94.11,0,37
India,Shubman Gill (India),bat,11,16,,0.090909091,1.4545,Pakistan,Ahmedabad,14-Oct-23,,,,2,4,0,145.45,0,11
India,V Kohli (India),bat,18,16,,0.055555556,0.8888,Pakistan,Ahmedabad,14-Oct-23,,,,2,3,0,88.88,0,31
South Africa,T Bavuma (South Africa),bat,31,16,,0.032258065,0.5161,Netherlands,Dharamsala,17-Oct-23,,,,2,2,1,51.61,0,35
Bangladesh,Towhid Hridoy (Bangladesh),bat,35,16,,0.028571429,0.4571,India,Pune,19-Oct-23,,,,1,0,0,45.71,0,54
Netherlands,MP O'Dowd (Netherlands),bat,27,16,,0.037037037,0.5925,Sri Lanka,Lucknow,21-Oct-23,,,,1,1,1,59.25,0,50
Netherlands,South Africa Edwards (Netherlands),bat,16,16,,0.0625,1,Sri Lanka,Lucknow,21-Oct-23,,,,1,0,0,100,0,22
India,JJ Bumrah (India),bat,25,16,,0.04,0.64,England,Lucknow,29-Oct-23,,,,1,1,0,64,0,44
England,DJ Malan (England),bat,17,16,,0.058823529,0.9411,India,Lucknow,29-Oct-23,,,,2,2,1,94.11,0,25
Sri Lanka,AD Mathews (Sri Lanka),bat,27,16,,0.037037037,0.5925,New Zealand,Bengaluru,9-Nov-23,,,,1,2,0,59.25,0,33
England,AU Rashid (England),bat,13,15,,0,1.1538,New Zealand,Ahmedabad,5-Oct-23,,,,1,0,1,115.38,1,23
England,RJW Topley (England),bat,7,15,,0,2.1428,Afghanistan,Delhi,15-Oct-23,,,,2,3,0,214.28,1,8
South Africa,H Klaasen (South Africa),bat,7,15,,0,2.1428,New Zealand,Pune,1-Nov-23,,,,1,1,1,214.28,1,13
Bangladesh,Towhid Hridoy (Bangladesh),bat,7,15,,0,2.1428,Sri Lanka,Delhi,6-Nov-23,,,,2,0,2,214.28,1,22
Pakistan,Imam-ul-Haq (Pakistan),bat,19,15,,0.052631579,0.7894,Netherlands,Hyderabad,6-Oct-23,,,,1,2,0,78.94,0,40
Australia,GJ Maxwell (Australia),bat,25,15,,0.04,0.6,India,Chennai,8-Oct-23,,,,1,1,0,60,0,44
Australia,PJ Cummins (Australia),bat,24,15,,0.041666667,0.625,India,Chennai,8-Oct-23,,,,1,1,1,62.5,0,26
Bangladesh,Taskin Ahmed (Bangladesh),bat,25,15,,0.04,0.6,England,Dharamsala,10-Oct-23,,,,2,0,1,60,0,35
England,JC Buttler (England),bat,7,15,,0.142857143,2.1428,South Africa,Wankhede,21-Oct-23,,,,2,2,1,214.28,0,14
Bangladesh,Hasan Mahmud (Bangladesh),bat,25,15,,0.04,0.6,South Africa,Wankhede,24-Oct-23,,,,2,2,0,60,0,32
England,MM Ali (England),bat,15,15,,0.066666667,1,Sri Lanka,Bengaluru,26-Oct-23,,,,1,1,0,100,0,33
Netherlands,CN Ackermann (Netherlands),bat,33,15,,0.03030303,0.4545,Bangladesh,Eden Gardens,28-Oct-23,,,,1,1,0,45.45,0,50
Bangladesh,Tanzid Hasan (Bangladesh),bat,16,15,,0.0625,0.9375,Netherlands,Eden Gardens,28-Oct-23,,,,2,3,0,93.75,0,25
England,MM Ali (England),bat,31,15,,0.032258065,0.4838,India,Lucknow,29-Oct-23,,,,2,0,0,48.38,0,55
Sri Lanka,FDM Karunaratne (Sri Lanka),bat,21,15,,0.047619048,0.7142,Afghanistan,Pune,30-Oct-23,,,,1,1,0,71.42,0,25
Australia,DA Warner (Australia),bat,16,15,,0.0625,0.9375,England,Ahmedabad,4-Nov-23,,,,1,1,1,93.75,0,29
England,DJ Willey (England),bat,14,15,,0.071428571,1.0714,Australia,Ahmedabad,4-Nov-23,,,,2,3,0,107.14,0,19
England,JM Bairstow (England),bat,17,15,,0.058823529,0.8823,Netherlands,Pune,8-Nov-23,,,,1,2,0,88.23,0,29
Afghanistan,Ibrahim Zadran (Afghanistan),bat,30,15,,0.033333333,0.5,South Africa,Ahmedabad,10-Nov-23,,,,1,3,0,50,0,52
England,DJ Willey (England),bat,17,14,,0,0.8235,Sri Lanka,Bengaluru,26-Oct-23,,,,1,1,1,82.35,1,34
England,DJ Malan (England),bat,24,14,,0.041666667,0.5833,New Zealand,Ahmedabad,5-Oct-23,,,,1,2,0,58.33,0,36
England,SM Curran (England),bat,19,14,,0.052631579,0.7368,New Zealand,Ahmedabad,5-Oct-23,,,,1,0,0,73.68,0,30
Bangladesh,Shakib Al Hasan (Bangladesh),bat,19,14,,0.052631579,0.7368,Afghanistan,Dharamsala,7-Oct-23,,,,2,2,0,73.68,0,24
England,CR Woakes (England),bat,11,14,,0.090909091,1.2727,Bangladesh,Dharamsala,10-Oct-23,,,,1,2,0,127.27,0,21
Bangladesh,Mahedi Hasan (Bangladesh),bat,32,14,,0.03125,0.4375,England,Dharamsala,10-Oct-23,,,,2,1,0,43.75,0,39
Afghanistan,Hashmatullah Shahidi (Afghanistan),bat,36,14,,0.027777778,0.3888,England,Delhi,15-Oct-23,,,,1,0,0,38.88,0,46
Afghanistan,Ibrahim Zadran (Afghanistan),bat,15,14,,0.066666667,0.9333,New Zealand,Chennai,18-Oct-23,,,,2,2,0,93.33,0,27
Bangladesh,Nasum Ahmed (Bangladesh),bat,18,14,,0.055555556,0.7777,India,Pune,19-Oct-23,,,,1,2,0,77.77,0,21
Pakistan,Mohammad Nawaz (3) (Pakistan),bat,16,14,,0.0625,0.875,Australia,Bengaluru,20-Oct-23,,,,2,0,1,87.5,0,19
Australia,JP Inglis (Australia),bat,12,14,,0.083333333,1.1666,Netherlands,Delhi,25-Oct-23,,,,1,1,1,116.66,0,12
Netherlands,AT Nidamanuru (Netherlands),bat,18,14,,0.055555556,0.7777,Australia,Delhi,25-Oct-23,,,,2,2,0,77.77,0,19
England,JM Bairstow (England),bat,23,14,,0.043478261,0.6086,India,Lucknow,29-Oct-23,,,,2,2,0,60.86,0,53
Sri Lanka,DM de Silva (Sri Lanka),bat,26,14,,0.038461538,0.5384,Afghanistan,Pune,30-Oct-23,,,,1,1,0,53.84,0,24
Sri Lanka,CAK Rajitha (Sri Lanka),bat,17,14,,0.058823529,0.8235,India,Wankhede,2-Nov-23,,,,2,2,0,82.35,0,20
South Africa,M Jansen (South Africa),bat,30,14,,0.033333333,0.4666,India,Eden Gardens,5-Nov-23,,,,2,1,0,46.66,0,45
Australia,M Labuschagne (Australia),bat,28,14,,0.035714286,0.5,Afghanistan,Wankhede,7-Nov-23,,,,2,2,0,50,0,53
New Zealand,KS Williamson (New Zealand),bat,15,14,,0.066666667,0.9333,Sri Lanka,Bengaluru,9-Nov-23,,,,2,2,0,93.33,0,26
Afghanistan,Rashid Khan (Afghanistan),bat,30,14,,0.033333333,0.4666,South Africa,Ahmedabad,10-Nov-23,,,,1,0,0,46.66,0,42
England,MA Wood (England),bat,14,13,,0,0.9285,New Zealand,Ahmedabad,5-Oct-23,,,,1,0,0,92.85,1,19
Pakistan,Shaheen Shah Afridi (Pakistan),bat,12,13,,0,1.0833,Netherlands,Hyderabad,6-Oct-23,,,,1,2,0,108.33,1,23
Bangladesh,Litton Das (Bangladesh),bat,18,13,,0.055555556,0.7222,Afghanistan,Dharamsala,7-Oct-23,,,,2,2,0,72.22,0,29
Australia,DA Warner (Australia),bat,27,13,,0.037037037,0.4814,South Africa,Lucknow,12-Oct-23,,,,2,2,0,48.14,0,33
Bangladesh,Towhid Hridoy (Bangladesh),bat,25,13,,0.04,0.52,New Zealand,Chennai,13-Oct-23,,,,1,0,0,52,0,30
Australia,JP Inglis (Australia),bat,9,13,,0.111111111,1.4444,Pakistan,Bengaluru,20-Oct-23,,,,1,3,0,144.44,0,10
England,AU Rashid (England),bat,20,13,,0.05,0.65,India,Lucknow,29-Oct-23,,,,2,2,0,65,0,19
England,JE Root (England),bat,17,13,,0.058823529,0.7647,Australia,Ahmedabad,4-Nov-23,,,,2,2,0,76.47,0,23
South Africa,HE van der Dussen (South Africa),bat,32,13,,0.03125,0.4062,India,Eden Gardens,5-Nov-23,,,,2,1,0,40.62,0,55
South Africa,M Jansen (South Africa),bat,7,12,,0,1.7142,Sri Lanka,Delhi,7-Oct-23,,,,1,0,1,171.42,1,15
Australia,PJ Cummins (Australia),bat,9,12,,0,1.3333,Netherlands,Delhi,25-Oct-23,,,,1,2,0,133.33,1,39
Netherlands,South Africa Edwards (Netherlands),bat,22,12,,0,0.5454,Australia,Delhi,25-Oct-23,,,,2,0,0,54.54,1,53
Sri Lanka,M Theekshana (Sri Lanka),bat,23,12,,0,0.5217,India,Wankhede,2-Nov-23,,,,2,2,0,52.17,1,37
Australia,PJ Cummins (Australia),bat,68,12,,0,0.1764,Afghanistan,Wankhede,7-Nov-23,,,,2,1,0,17.64,1,122
Pakistan,Fakhar Zaman (Pakistan),bat,15,12,,0.066666667,0.8,Netherlands,Hyderabad,6-Oct-23,,,,1,3,0,80,0,14
Netherlands,Vikramjit Singh (Netherlands),bat,20,12,,0.05,0.6,New Zealand,Hyderabad,9-Oct-23,,,,2,1,0,60,0,22
Bangladesh,Shoriful Islam (Bangladesh),bat,14,12,,0.071428571,0.8571,England,Dharamsala,10-Oct-23,,,,2,2,0,85.71,0,17
Sri Lanka,MD Shanaka (Sri Lanka),bat,18,12,,0.055555556,0.6666,Pakistan,Hyderabad,10-Oct-23,,,,1,0,0,66.66,0,23
Pakistan,Imam-ul-Haq (Pakistan),bat,12,12,,0.083333333,1,Sri Lanka,Hyderabad,10-Oct-23,,,,2,1,0,100,0,15
Pakistan,Hasan Ali (Pakistan),bat,19,12,,0.052631579,0.6315,India,Ahmedabad,14-Oct-23,,,,1,2,0,63.15,0,21
Netherlands,CN Ackermann (Netherlands),bat,25,12,,0.04,0.48,South Africa,Dharamsala,17-Oct-23,,,,1,1,0,48,0,40
England,DJ Willey (England),bat,12,12,,0.083333333,1,South Africa,Wankhede,21-Oct-23,,,,2,1,1,100,0,24
South Africa,RR Hendricks (South Africa),bat,19,12,,0.052631579,0.6315,Bangladesh,Wankhede,24-Oct-23,,,,1,1,0,63.15,0,24
Bangladesh,Tanzid Hasan (Bangladesh),bat,17,12,,0.058823529,0.7058,South Africa,Wankhede,24-Oct-23,,,,2,1,0,70.58,0,30
Pakistan,Imam-ul-Haq (Pakistan),bat,18,12,,0.055555556,0.6666,South Africa,Chennai,27-Oct-23,,,,1,2,0,66.66,0,35
South Africa,H Klaasen (South Africa),bat,10,12,,0.1,1.2,Pakistan,Chennai,27-Oct-23,,,,2,0,1,120,0,12
New Zealand,GD Phillips (New Zealand),bat,16,12,,0.0625,0.75,Australia,Dharamsala,28-Oct-23,,,,2,1,0,75,0,21
India,South Africa Yadav (India),bat,9,12,,0.111111111,1.3333,Sri Lanka,Wankhede,2-Nov-23,,,,1,2,0,133.33,0,13
Sri Lanka,AD Mathews (Sri Lanka),bat,25,12,,0.04,0.48,India,Wankhede,2-Nov-23,,,,2,1,0,48,0,55
Afghanistan,Mohammad Nabi (Afghanistan),bat,10,12,,0.1,1.2,Australia,Wankhede,7-Nov-23,,,,1,0,1,120,0,15
Afghanistan,Ikram Alikhil (Afghanistan),bat,14,12,,0.071428571,0.8571,South Africa,Ahmedabad,10-Nov-23,,,,1,1,1,85.71,0,16
India,HH Pandya (India),bat,8,11,,0,1.375,Australia,Chennai,8-Oct-23,,,,2,0,1,137.5,1,17
Australia,A Zampa (Australia),bat,16,11,,0,0.6875,South Africa,Lucknow,12-Oct-23,,,,2,1,0,68.75,1,25
England,MM Ali (England),bat,17,11,,0.058823529,0.647,New Zealand,Ahmedabad,5-Oct-23,,,,1,1,0,64.7,0,20
England,CR Woakes (England),bat,12,11,,0.083333333,0.9166,New Zealand,Ahmedabad,5-Oct-23,,,,1,1,0,91.66,0,15
Sri Lanka,DM de Silva (Sri Lanka),bat,14,11,,0.071428571,0.7857,South Africa,Delhi,7-Oct-23,,,,2,1,0,78.57,0,28
Netherlands,A Dutt (Netherlands),bat,20,11,,0.05,0.55,New Zealand,Hyderabad,9-Oct-23,,,,2,0,1,55,0,19
England,SM Curran (England),bat,15,11,,0.066666667,0.7333,Bangladesh,Dharamsala,10-Oct-23,,,,1,1,0,73.33,0,20
England,AU Rashid (England),bat,7,11,,0.142857143,1.5714,Bangladesh,Dharamsala,10-Oct-23,,,,1,1,0,157.14,0,8
England,JE Root (England),bat,17,11,,0.058823529,0.647,Afghanistan,Delhi,15-Oct-23,,,,2,2,0,64.7,0,23
Australia,DA Warner (Australia),bat,6,11,,0.166666667,1.8333,Sri Lanka,Lucknow,16-Oct-23,,,,2,0,1,183.33,0,16
Afghanistan,Rahmanullah Gurbaz (Afghanistan),bat,21,11,,0.047619048,0.5238,New Zealand,Chennai,18-Oct-23,,,,2,0,1,52.38,0,24
Sri Lanka,BKG Mendis (Sri Lanka),bat,17,11,,0.058823529,0.647,Netherlands,Lucknow,21-Oct-23,,,,2,2,0,64.7,0,22
Bangladesh,Mehidy Hasan Miraz (Bangladesh),bat,19,11,,0.052631579,0.5789,South Africa,Wankhede,24-Oct-23,,,,2,1,0,57.89,0,26
Bangladesh,Mustafizur Rahman (Bangladesh),bat,21,11,,0.047619048,0.5238,South Africa,Wankhede,24-Oct-23,,,,2,2,0,52.38,0,51
Netherlands,South Africa Engelbrecht (Netherlands),bat,21,11,,0.047619048,0.5238,Australia,Delhi,25-Oct-23,,,,2,1,0,52.38,0,36
Sri Lanka,BKG Mendis (Sri Lanka),bat,12,11,,0.083333333,0.9166,England,Bengaluru,26-Oct-23,,,,2,2,0,91.66,0,15
Bangladesh,Taskin Ahmed (Bangladesh),bat,35,11,,0.028571429,0.3142,Netherlands,Eden Gardens,28-Oct-23,,,,2,1,0,31.42,0,49
Netherlands,RE van der Merwe (Netherlands),bat,33,11,,0.03030303,0.3333,Afghanistan,Lucknow,3-Nov-23,,,,1,0,0,33.33,0,36
Australia,TM Head (Australia),bat,10,11,,0.1,1.1,England,Ahmedabad,4-Nov-23,,,,1,1,0,110,0,8
South Africa,T Bavuma (South Africa),bat,19,11,,0.052631579,0.5789,India,Eden Gardens,5-Nov-23,,,,2,1,0,57.89,0,39
South Africa,DA Miller (South Africa),bat,11,11,,0.090909091,1,India,Eden Gardens,5-Nov-23,,,,2,2,0,100,0,17
England,HC Brook (England),bat,16,11,,0.0625,0.6875,Netherlands,Pune,8-Nov-23,,,,1,2,0,68.75,0,19
New Zealand,MJ Henry (New Zealand),bat,4,10,,0,2.5,Netherlands,Hyderabad,9-Oct-23,,,,1,0,1,250,1,6
Afghanistan,Mujeeb Ur Rahman (Afghanistan),bat,12,10,,0,0.8333,India,Delhi,11-Oct-23,,,,1,2,0,83.33,1,22
New Zealand,TA Boult (New Zealand),bat,8,10,,0,1.25,Australia,Dharamsala,28-Oct-23,,,,2,0,1,125,1,21
Netherlands,A Dutt (Netherlands),bat,22,10,,0,0.4545,Afghanistan,Lucknow,3-Nov-23,,,,1,0,0,45.45,1,42
Netherlands,Saqib Zulfiqar (Netherlands),bat,18,10,,0.055555556,0.5555,Pakistan,Hyderabad,6-Oct-23,,,,2,1,0,55.55,0,24
Sri Lanka,DN Wellalage (Sri Lanka),bat,8,10,,0.125,1.25,Pakistan,Hyderabad,10-Oct-23,,,,1,1,0,125,0,18
Pakistan,Babar Azam (Pakistan),bat,15,10,,0.066666667,0.6666,Sri Lanka,Hyderabad,10-Oct-23,,,,2,1,0,66.66,0,17
England,LS Livingstone (England),bat,14,10,,0.071428571,0.7142,Afghanistan,Delhi,15-Oct-23,,,,2,1,0,71.42,0,15
England,SM Curran (England),bat,23,10,,0.043478261,0.4347,Afghanistan,Delhi,15-Oct-23,,,,2,0,0,43.47,0,22
Netherlands,LV van Beek (Netherlands),bat,27,10,,0.037037037,0.3703,South Africa,Dharamsala,17-Oct-23,,,,1,1,0,37.03,0,22
Pakistan,Shaheen Shah Afridi (Pakistan),bat,8,10,,0.125,1.25,Australia,Bengaluru,20-Oct-23,,,,2,2,0,125,0,17
England,JM Bairstow (England),bat,12,10,,0.083333333,0.8333,South Africa,Wankhede,21-Oct-23,,,,2,1,1,83.33,0,13
England,AU Rashid (England),bat,14,10,,0.071428571,0.7142,South Africa,Wankhede,21-Oct-23,,,,2,1,0,71.42,0,14
Netherlands,CN Ackermann (Netherlands),bat,11,10,,0.090909091,0.909,Australia,Delhi,25-Oct-23,,,,2,2,0,90.9,0,21
South Africa,G Coetzee (South Africa),bat,13,10,,0.076923077,0.7692,Pakistan,Chennai,27-Oct-23,,,,2,0,0,76.92,0,23
England,JC Buttler (England),bat,23,10,,0.043478261,0.4347,India,Lucknow,29-Oct-23,,,,2,1,0,43.47,0,33
England,CR Woakes (England),bat,20,10,,0.05,0.5,India,Lucknow,29-Oct-23,,,,2,1,0,50,0,21
Afghanistan,Rahmanullah Gurbaz (Afghanistan),bat,11,10,,0.090909091,0.909,Netherlands,Lucknow,3-Nov-23,,,,2,2,0,90.9,0,24
Australia,PJ Cummins (Australia),bat,13,10,,0.076923077,0.7692,England,Ahmedabad,4-Nov-23,,,,1,1,0,76.92,0,17
Australia,MA Starc (Australia),bat,13,10,,0.076923077,0.7692,England,Ahmedabad,4-Nov-23,,,,1,0,0,76.92,0,30
Bangladesh,Mushfiqur Rahim (Bangladesh),bat,13,10,,0.076923077,0.7692,Sri Lanka,Delhi,6-Nov-23,,,,2,1,0,76.92,0,21
Netherlands,BFW de Leede (Netherlands),bat,12,10,,0.083333333,0.8333,England,Pune,8-Nov-23,,,,2,2,0,83.33,0,11
South Africa,H Klaasen (South Africa),bat,13,10,,0.076923077,0.7692,Afghanistan,Ahmedabad,10-Nov-23,,,,2,1,0,76.92,0,15
Afghanistan,Naveen-ul-Haq (Afghanistan),bat,8,9,,0,1.125,India,Delhi,11-Oct-23,,,,1,1,0,112.5,1,8
Netherlands,A Dutt (Netherlands),bat,6,9,,0,1.5,Sri Lanka,Lucknow,21-Oct-23,,,,1,1,0,150,1,14
India,Kuldeep Yadav (India),bat,13,9,,0,0.6923,England,Lucknow,29-Oct-23,,,,1,1,0,69.23,1,18
Pakistan,Iftikhar Ahmed (Pakistan),bat,11,9,,0.090909091,0.8181,Netherlands,Hyderabad,6-Oct-23,,,,1,1,0,81.81,0,22
Afghanistan,Rashid Khan (Afghanistan),bat,16,9,,0.0625,0.5625,Bangladesh,Dharamsala,7-Oct-23,,,,1,1,0,56.25,0,16
New Zealand,R Ravindra (New Zealand),bat,13,9,,0.076923077,0.6923,Bangladesh,Chennai,13-Oct-23,,,,2,2,0,69.23,0,12
Afghanistan,Mohammad Nabi (Afghanistan),bat,15,9,,0.066666667,0.6,England,Delhi,15-Oct-23,,,,1,1,0,60,0,14
England,JC Buttler (England),bat,18,9,,0.055555556,0.5,Afghanistan,Delhi,15-Oct-23,,,,2,1,0,50,0,21
England,CR Woakes (England),bat,26,9,,0.038461538,0.3461,Afghanistan,Delhi,15-Oct-23,,,,2,1,0,34.61,0,21
Sri Lanka,BKG Mendis (Sri Lanka),bat,13,9,,0.076923077,0.6923,Australia,Lucknow,16-Oct-23,,,,1,0,0,69.23,0,27
South Africa,M Jansen (South Africa),bat,25,9,,0.04,0.36,Netherlands,Dharamsala,17-Oct-23,,,,2,0,0,36,0,22
South Africa,K Rabada (South Africa),bat,6,9,,0.166666667,1.5,Netherlands,Dharamsala,17-Oct-23,,,,2,0,1,150,0,9
Netherlands,AT Nidamanuru (Netherlands),bat,16,9,,0.0625,0.5625,Sri Lanka,Lucknow,21-Oct-23,,,,1,0,0,56.25,0,32
Australia,MR Marsh (Australia),bat,15,9,,0.066666667,0.6,Netherlands,Delhi,25-Oct-23,,,,1,2,0,60,0,15
Pakistan,Abdullah Shafique (Pakistan),bat,17,9,,0.058823529,0.5294,South Africa,Chennai,27-Oct-23,,,,1,1,0,52.94,0,21
New Zealand,MJ Henry (New Zealand),bat,8,9,,0.125,1.125,Australia,Dharamsala,28-Oct-23,,,,2,1,0,112.5,0,14
Netherlands,A Dutt (Netherlands),bat,6,9,,0.166666667,1.5,Bangladesh,Eden Gardens,28-Oct-23,,,,1,0,1,150,0,7
Bangladesh,Najmul Hossain Shanto (Bangladesh),bat,18,9,,0.055555556,0.5,Netherlands,Eden Gardens,28-Oct-23,,,,2,2,0,50,0,27
India,Shubman Gill (India),bat,13,9,,0.076923077,0.6923,England,Lucknow,29-Oct-23,,,,1,1,0,69.23,0,18
Pakistan,Babar Azam (Pakistan),bat,16,9,,0.0625,0.5625,Bangladesh,Eden Gardens,31-Oct-23,,,,2,1,0,56.25,0,20
New Zealand,R Ravindra (New Zealand),bat,16,9,,0.0625,0.5625,South Africa,Pune,1-Nov-23,,,,2,1,0,56.25,0,28
New Zealand,TA Boult (New Zealand),bat,14,9,,0.071428571,0.6428,South Africa,Pune,1-Nov-23,,,,2,1,0,64.28,0,17
South Africa,AK Markram (South Africa),bat,6,9,,0.166666667,1.5,India,Eden Gardens,5-Nov-23,,,,2,2,0,150,0,6
Bangladesh,Tanzid Hasan (Bangladesh),bat,5,9,,0.2,1.8,Sri Lanka,Delhi,6-Nov-23,,,,2,2,0,180,0,11
South Africa,T Bavuma (South Africa),bat,5,8,,0.2,1.6,Sri Lanka,Delhi,7-Oct-23,,,,1,2,0,160,0,9
Australia,C Green (Australia),bat,20,8,,0.05,0.4,India,Chennai,8-Oct-23,,,,1,0,0,40,0,31
Netherlands,R Klein (Netherlands),bat,15,8,,0.066666667,0.5333,New Zealand,Hyderabad,9-Oct-23,,,,2,0,0,53.33,0,23
Bangladesh,Mehidy Hasan Miraz (Bangladesh),bat,7,8,,0.142857143,1.1428,England,Dharamsala,10-Oct-23,,,,2,1,0,114.28,0,12
Sri Lanka,S Samarawickrama (Sri Lanka),bat,8,8,,0.125,1,Australia,Lucknow,16-Oct-23,,,,1,1,0,100,0,15
Afghanistan,Hashmatullah Shahidi (Afghanistan),bat,29,8,,0.034482759,0.2758,New Zealand,Chennai,18-Oct-23,,,,2,1,0,27.58,0,30
Afghanistan,Rashid Khan (Afghanistan),bat,13,8,,0.076923077,0.6153,New Zealand,Chennai,18-Oct-23,,,,2,0,1,61.53,0,10
Bangladesh,Najmul Hossain Shanto (Bangladesh),bat,17,8,,0.058823529,0.4705,India,Pune,19-Oct-23,,,,1,0,0,47.05,0,18
Australia,M Labuschagne (Australia),bat,12,8,,0.083333333,0.6666,Pakistan,Bengaluru,20-Oct-23,,,,1,1,0,66.66,0,23
Pakistan,Hasan Ali (Pakistan),bat,8,8,,0.125,1,Australia,Bengaluru,20-Oct-23,,,,2,2,0,100,0,7
Pakistan,Mohammad Rizwan (Pakistan),bat,10,8,,0.1,0.8,Afghanistan,Chennai,23-Oct-23,,,,1,0,1,80,0,8
Bangladesh,Mushfiqur Rahim (Bangladesh),bat,17,8,,0.058823529,0.4705,South Africa,Wankhede,24-Oct-23,,,,2,1,0,47.05,0,24
Australia,C Green (Australia),bat,11,8,,0.090909091,0.7272,Netherlands,Delhi,25-Oct-23,,,,1,1,0,72.72,0,15
England,JC Buttler (England),bat,6,8,,0.166666667,1.3333,Sri Lanka,Bengaluru,26-Oct-23,,,,1,1,0,133.33,0,6
India,RA Jadeja (India),bat,13,8,,0.076923077,0.6153,England,Lucknow,29-Oct-23,,,,1,0,0,61.53,0,14
India,KL Rahul (India),bat,17,8,,0.058823529,0.4705,South Africa,Eden Gardens,5-Nov-23,,,,1,0,0,47.05,0,29
Sri Lanka,KIC Asalanka (Sri Lanka),bat,8,8,,0.125,1,New Zealand,Bengaluru,9-Nov-23,,,,1,1,0,100,0,16
Afghanistan,Mujeeb Ur Rahman (Afghanistan),bat,5,8,,0.2,1.6,South Africa,Ahmedabad,10-Nov-23,,,,1,0,1,160,0,7
South Africa,L Ngidi (South Africa),bat,24,7,,0,0.2916,Netherlands,Dharamsala,17-Oct-23,,,,2,0,0,29.16,1,35
New Zealand,MJ Santner (New Zealand),bat,5,7,,0,1.4,Afghanistan,Chennai,18-Oct-23,,,,1,1,0,140,1,13
Bangladesh,Shoriful Islam (Bangladesh),bat,3,7,,0,2.3333,India,Pune,19-Oct-23,,,,1,0,1,233.33,1,2
South Africa,KA Maharaj (South Africa),bat,21,7,,0,0.3333,Pakistan,Chennai,27-Oct-23,,,,2,1,0,33.33,1,44
Netherlands,PA van Meekeren (Netherlands),bat,12,7,,0.083333333,0.5833,Pakistan,Hyderabad,6-Oct-23,,,,2,1,0,58.33,0,17
Sri Lanka,MDKJ Perera (Sri Lanka),bat,15,7,,0.066666667,0.4666,South Africa,Delhi,7-Oct-23,,,,2,1,0,46.66,0,42
Australia,MR Marsh (Australia),bat,15,7,,0.066666667,0.4666,South Africa,Lucknow,12-Oct-23,,,,2,0,0,46.66,0,27
Bangladesh,Najmul Hossain Shanto (Bangladesh),bat,8,7,,0.125,0.875,New Zealand,Chennai,13-Oct-23,,,,1,1,0,87.5,0,20
Sri Lanka,DM de Silva (Sri Lanka),bat,13,7,,0.076923077,0.5384,Australia,Lucknow,16-Oct-23,,,,1,1,0,53.84,0,13
Afghanistan,Mohammad Nabi (Afghanistan),bat,9,7,,0.111111111,0.7777,New Zealand,Chennai,18-Oct-23,,,,2,1,0,77.77,0,10
Australia,SPD Smith (Australia),bat,9,7,,0.111111111,0.7777,Pakistan,Bengaluru,20-Oct-23,,,,1,0,0,77.77,0,17
Netherlands,RE van der Merwe (Netherlands),bat,7,7,,0.142857143,1,Sri Lanka,Lucknow,21-Oct-23,,,,1,0,0,100,0,12
Pakistan,Mohammad Wasim (1) (Pakistan),bat,9,7,,0.111111111,0.7777,South Africa,Chennai,27-Oct-23,,,,1,0,1,77.77,0,13
Bangladesh,Towhid Hridoy (Bangladesh),bat,3,7,,0.333333333,2.3333,Pakistan,Eden Gardens,31-Oct-23,,,,1,0,1,233.33,0,9
New Zealand,MJ Santner (New Zealand),bat,18,7,,0.055555556,0.3888,South Africa,Pune,1-Nov-23,,,,2,1,0,38.88,0,14
New Zealand,TG Southee (New Zealand),bat,11,7,,0.090909091,0.6363,South Africa,Pune,1-Nov-23,,,,2,1,0,63.63,0,11
South Africa,KA Maharaj (South Africa),bat,11,7,,0.090909091,0.6363,India,Eden Gardens,5-Nov-23,,,,2,1,0,63.63,0,7
New Zealand,MS Chapman (New Zealand),bat,6,7,,0.166666667,1.1666,Sri Lanka,Bengaluru,9-Nov-23,,,,2,1,0,116.66,0,13
England,MA Wood (England),bat,5,6,,0,1.2,Bangladesh,Dharamsala,10-Oct-23,,,,1,1,0,120,1,6
