team,player,bat_or_bowl,bb_bf,runs,wkts,wicketball_prob,runs_per_ball,opposition,ground,start_date,overs,mdns,econ,inns,4s,6s,sr,not_out,mins
New Zealand,R Ravindra (New Zealand),bat,41,32,,0.024390244,0.7804,Afghanistan,Chennai,18-Oct-23,,,,1,2,1,78.04,0,64
New Zealand,WA Young (New Zealand),bat,37,32,,0.027027027,0.8648,Australia,Dharamsala,28-Oct-23,,,,2,4,1,86.48,0,44
England,CR Woakes (England),bat,33,32,,0.03030303,0.9696,Australia,Ahmedabad,4-Nov-23,,,,2,4,1,96.96,0,52
Australia,GJ Maxwell (Australia),bat,21,31,,0,1.4761,Sri Lanka,Lucknow,16-Oct-23,,,,2,4,2,147.61,1,30
Afghanistan,Azmatullah Omarzai (Afghanistan),bat,28,31,,0,1.1071,Netherlands,Lucknow,3-Nov-23,,,,2,3,0,110.71,0,38
Pakistan,Saud Shakeel (Pakistan),bat,30,31,,0.033333333,1.0333,Sri Lanka,Hyderabad,10-Oct-23,,,,2,2,0,103.33,0,57
Pakistan,Mohammad Rizwan (Pakistan),bat,27,31,,0.037037037,1.1481,South Africa,Chennai,27-Oct-23,,,,1,4,1,114.81,0,35
Netherlands,South Africa Edwards (Netherlands),bat,27,30,,0.037037037,1.1111,New Zealand,Hyderabad,9-Oct-23,,,,2,2,1,111.11,0,37
Bangladesh,Mehidy Hasan Miraz (Bangladesh),bat,46,30,,0.02173913,0.6521,New Zealand,Chennai,13-Oct-23,,,,1,4,0,65.21,0,52
Pakistan,Saud Shakeel (Pakistan),bat,31,30,,0.032258065,0.9677,Australia,Bengaluru,20-Oct-23,,,,2,5,0,96.77,0,37
Sri Lanka,DM de Silva (Sri Lanka),bat,37,30,,0.027027027,0.8108,Netherlands,Lucknow,21-Oct-23,,,,2,1,2,81.08,0,57
England,JM Bairstow (England),bat,31,30,,0.032258065,0.9677,Sri Lanka,Bengaluru,26-Oct-23,,,,1,3,0,96.77,0,64
Afghanistan,Rahmat Shah (Afghanistan),bat,44,30,,0.022727273,0.6818,Australia,Wankhede,7-Nov-23,,,,1,1,0,68.18,0,61
India,RA Jadeja (India),bat,15,29,,0,1.9333,South Africa,Eden Gardens,5-Nov-23,,,,1,3,1,193.33,1,21
Netherlands,South Africa Engelbrecht (Netherlands),bat,34,29,,0.029411765,0.8529,New Zealand,Hyderabad,9-Oct-23,,,,2,3,0,85.29,0,55
South Africa,H Klaasen (South Africa),bat,27,29,,0.037037037,1.074,Australia,Lucknow,12-Oct-23,,,,1,3,0,107.4,0,40
Netherlands,RE van der Merwe (Netherlands),bat,19,29,,0.052631579,1.5263,South Africa,Dharamsala,17-Oct-23,,,,1,3,1,152.63,0,30
Netherlands,CN Ackermann (Netherlands),bat,31,29,,0.032258065,0.9354,Sri Lanka,Lucknow,21-Oct-23,,,,1,5,0,93.54,0,42
South Africa,DA Miller (South Africa),bat,33,29,,0.03030303,0.8787,Pakistan,Chennai,27-Oct-23,,,,2,2,2,87.87,0,55
Sri Lanka,M Theekshana (Sri Lanka),bat,31,29,,0.032258065,0.9354,Afghanistan,Pune,30-Oct-23,,,,1,3,1,93.54,0,31
Netherlands,CN Ackermann (Netherlands),bat,35,29,,0.028571429,0.8285,Afghanistan,Lucknow,3-Nov-23,,,,1,4,0,82.85,0,71
New Zealand,DJ Mitchell (New Zealand),bat,18,29,,0.055555556,1.6111,Pakistan,Bengaluru,4-Nov-23,,,,1,4,1,161.11,0,32
Australia,A Zampa (Australia),bat,19,29,,0.052631579,1.5263,England,Ahmedabad,4-Nov-23,,,,1,4,0,152.63,0,23
Netherlands,LV van Beek (Netherlands),bat,28,28,,0,1,Pakistan,Hyderabad,6-Oct-23,,,,2,3,1,100,1,36
Australia,MA Starc (Australia),bat,35,28,,0.028571429,0.8,India,Chennai,8-Oct-23,,,,1,2,1,80,0,58
Afghanistan,Ibrahim Zadran (Afghanistan),bat,48,28,,0.020833333,0.5833,England,Delhi,15-Oct-23,,,,1,3,0,58.33,0,73
Afghanistan,Mujeeb Ur Rahman (Afghanistan),bat,16,28,,0.0625,1.75,England,Delhi,15-Oct-23,,,,1,3,1,175,0,22
South Africa,H Klaasen (South Africa),bat,28,28,,0.035714286,1,Netherlands,Dharamsala,17-Oct-23,,,,2,4,0,100,0,36
England,DJ Malan (England),bat,25,28,,0.04,1.12,Sri Lanka,Bengaluru,26-Oct-23,,,,1,6,0,112,0,32
South Africa,T Bavuma (South Africa),bat,27,28,,0.037037037,1.037,Pakistan,Chennai,27-Oct-23,,,,2,4,1,103.7,0,49
New Zealand,DP Conway (New Zealand),bat,17,28,,0.058823529,1.647,Australia,Dharamsala,28-Oct-23,,,,2,6,0,164.7,0,35
England,JE Root (England),bat,35,28,,0.028571429,0.8,Netherlands,Pune,8-Nov-23,,,,1,1,0,80,0,53
Australia,M Labuschagne (Australia),bat,41,27,,0.024390244,0.6585,India,Chennai,8-Oct-23,,,,1,1,0,65.85,0,58
Australia,MA Starc (Australia),bat,51,27,,0.019607843,0.5294,South Africa,Lucknow,12-Oct-23,,,,2,3,0,52.94,0,69
Afghanistan,Azmatullah Omarzai (Afghanistan),bat,32,27,,0.03125,0.8437,New Zealand,Chennai,18-Oct-23,,,,2,2,0,84.37,0,39
India,KL Rahul (India),bat,35,27,,0.028571429,0.7714,New Zealand,Dharamsala,22-Oct-23,,,,2,3,0,77.14,0,43
England,LS Livingstone (England),bat,46,27,,0.02173913,0.5869,India,Lucknow,29-Oct-23,,,,2,2,0,58.69,0,56
Pakistan,Mohammad Rizwan (Pakistan),bat,21,26,,0,1.238,Bangladesh,Eden Gardens,31-Oct-23,,,,2,4,0,123.8,1,27
New Zealand,MJ Santner (New Zealand),bat,17,26,,0,1.5294,Pakistan,Bengaluru,4-Nov-23,,,,1,0,2,152.94,1,27
South Africa,HE van der Dussen (South Africa),bat,30,26,,0.033333333,0.8666,Australia,Lucknow,12-Oct-23,,,,1,2,0,86.66,0,33
South Africa,M Jansen (South Africa),bat,22,26,,0.045454545,1.1818,Australia,Lucknow,12-Oct-23,,,,1,3,1,118.18,0,25
Pakistan,Iftikhar Ahmed (Pakistan),bat,20,26,,0.05,1.3,Australia,Bengaluru,20-Oct-23,,,,2,0,3,130,0,22
India,Shubman Gill (India),bat,31,26,,0.032258065,0.8387,New Zealand,Dharamsala,22-Oct-23,,,,2,5,0,83.87,0,53
Afghanistan,Hashmatullah Shahidi (Afghanistan),bat,43,26,,0.023255814,0.6046,Australia,Wankhede,7-Nov-23,,,,1,2,0,60.46,0,50
Afghanistan,Rahmat Shah (Afghanistan),bat,46,26,,0.02173913,0.5652,South Africa,Ahmedabad,10-Nov-23,,,,1,2,0,56.52,0,58
Afghanistan,Noor Ahmad (Afghanistan),bat,32,26,,0.03125,0.8125,South Africa,Ahmedabad,10-Nov-23,,,,1,4,0,81.25,0,36
India,SS Iyer (India),bat,23,25,,0,1.0869,Afghanistan,Delhi,11-Oct-23,,,,2,1,1,108.69,1,31
New Zealand,MS Chapman (New Zealand),bat,12,25,,0,2.0833,Afghanistan,Chennai,18-Oct-23,,,,1,2,1,208.33,1,15
England,HC Brook (England),bat,16,25,,0.0625,1.5625,New Zealand,Ahmedabad,5-Oct-23,,,,1,4,1,156.25,0,20
Sri Lanka,DM de Silva (Sri Lanka),bat,34,25,,0.029411765,0.7352,Pakistan,Hyderabad,10-Oct-23,,,,1,3,0,73.52,0,47
Sri Lanka,KIC Asalanka (Sri Lanka),bat,39,25,,0.025641026,0.641,Australia,Lucknow,16-Oct-23,,,,1,0,1,64.1,0,75
Pakistan,Saud Shakeel (Pakistan),bat,34,25,,0.029411765,0.7352,Afghanistan,Chennai,23-Oct-23,,,,1,3,0,73.52,0,35
Netherlands,Vikramjit Singh (Netherlands),bat,25,25,,0.04,1,Australia,Delhi,25-Oct-23,,,,2,6,0,100,0,28
Bangladesh,Mehidy Hasan Miraz (Bangladesh),bat,30,25,,0.033333333,0.8333,Pakistan,Eden Gardens,31-Oct-23,,,,1,1,1,83.33,0,50
Afghanistan,Rahmanullah Gurbaz (Afghanistan),bat,22,25,,0.045454545,1.1363,South Africa,Ahmedabad,10-Nov-23,,,,1,3,1,113.63,0,45
South Africa,AK Markram (South Africa),bat,32,25,,0.03125,0.7812,Afghanistan,Ahmedabad,10-Nov-23,,,,2,1,1,78.12,0,32
Pakistan,Mohammad Nawaz (3) (Pakistan),bat,24,24,,0.041666667,1,South Africa,Chennai,27-Oct-23,,,,1,1,2,100,0,32
South Africa,Q de Kock (South Africa),bat,14,24,,0.071428571,1.7142,Pakistan,Chennai,27-Oct-23,,,,2,5,0,171.42,0,19
South Africa,T Bavuma (South Africa),bat,28,24,,0.035714286,0.8571,New Zealand,Pune,1-Nov-23,,,,1,4,1,85.71,0,37
New Zealand,DJ Mitchell (New Zealand),bat,30,24,,0.033333333,0.8,South Africa,Pune,1-Nov-23,,,,2,4,0,80,0,40
Australia,MR Marsh (Australia),bat,11,24,,0.090909091,2.1818,Afghanistan,Wankhede,7-Nov-23,,,,2,2,2,218.18,0,22
South Africa,DA Miller (South Africa),bat,33,24,,0.03030303,0.7272,Afghanistan,Ahmedabad,10-Nov-23,,,,2,1,1,72.72,0,35
Netherlands,A Dutt (Netherlands),bat,9,23,,0,2.5555,South Africa,Dharamsala,17-Oct-23,,,,1,0,3,255.55,1,14
Netherlands,LV van Beek (Netherlands),bat,16,23,,0,1.4375,Bangladesh,Eden Gardens,28-Oct-23,,,,1,2,1,143.75,1,33
Sri Lanka,S Samarawickrama (Sri Lanka),bat,19,23,,0.052631579,1.2105,South Africa,Delhi,7-Oct-23,,,,2,3,1,121.05,0,22
Afghanistan,Rashid Khan (Afghanistan),bat,22,23,,0.045454545,1.0454,England,Delhi,15-Oct-23,,,,1,3,0,104.54,0,37
New Zealand,GD Phillips (New Zealand),bat,26,23,,0.038461538,0.8846,India,Dharamsala,22-Oct-23,,,,1,0,1,88.46,0,36
Sri Lanka,AD Mathews (Sri Lanka),bat,26,23,,0.038461538,0.8846,Afghanistan,Pune,30-Oct-23,,,,1,1,1,88.46,0,61
India,Shubman Gill (India),bat,24,23,,0.041666667,0.9583,South Africa,Eden Gardens,5-Nov-23,,,,1,4,1,95.83,0,54
Bangladesh,Litton Das (Bangladesh),bat,22,23,,0.045454545,1.0454,Sri Lanka,Delhi,6-Nov-23,,,,2,2,2,104.54,0,36
South Africa,T Bavuma (South Africa),bat,28,23,,0.035714286,0.8214,Afghanistan,Ahmedabad,10-Nov-23,,,,2,3,0,82.14,0,49
Pakistan,Iftikhar Ahmed (Pakistan),bat,10,22,,0,2.2,Sri Lanka,Hyderabad,10-Oct-23,,,,2,4,0,220,1,18
Afghanistan,Ibrahim Zadran (Afghanistan),bat,25,22,,0.04,0.88,Bangladesh,Dharamsala,7-Oct-23,,,,1,3,1,88,0,41
Afghanistan,Azmatullah Omarzai (Afghanistan),bat,20,22,,0.05,1.1,Bangladesh,Dharamsala,7-Oct-23,,,,1,4,0,110,0,32
